Instrument,Qty.,Avg cost.,Actual.Value,LTP,Current value,P&L,Net chg.,Day's chg.,Sold Qty,Sold Price,Sold tot,Actual Purc. Amt,,
DAIKAFFI,10,68,680,85,850,170,0.25,-1.449275362,40,88,3520,3400,120,
ADANIENT,25,65,1625,198.2,4955,3330,2.049230769,-0.875218805,0,0,0,1625,0,
ADANIPOWER,100,30.41326531,3041.326531,44.2,4420,1378.673469,0.453313202,-1.229050279,145,45.2,6554,7451.25,-897.25,1
AMTEKAUTO-BE,225,38.55555556,8675,28.4,6390,-2285,-0.263400576,-2.739726027,0,0,0,8675,0,
CGPOWER,62,61.49193548,3812.5,96.95,6010.9,2198.4,0.576629508,-0.970377937,0,0,0,3812.5,0,
COUNCODOS-BE,400,3.8,1520,3.95,1580,60,0.039473684,2.597402597,0,0,0,1520,0,
DLF,25,106.8333333,2670.833333,266.85,6671.25,4000.416667,1.497815913,-0.633029231,20,270,5400,4807.5,592.5,
DNAMEDIA,310,13.1,4061,11.8,3658,-403,-0.099236641,-2.479338843,0,0,0,4061,0,
FCONSUMER,60,20.65,1239,69.7,4182,2943,2.375302663,-4.38957476,40,73.3,2932,2065,867,
GAMMNINFRA,700,3.7,2590,4.45,3115,525,0.202702703,11.25,0,0,0,2590,0,
GMRINFRA,50,11,550,22.1,1105,555,1.009090909,5.238095238,50,21.6,1080,1100,-20,
GVKPIL-BE,100,18.88,1888,26.8,2680,792,0.419491525,4.892367906,100,26.8,2680,3776,-1096,1
HINDMOTORS,60,4.8,288,12.7,762,474,1.645833333,-9.929078014,40,13.2,528,480,48,
JKTYRE,35,101.9538462,3568.384615,177.1,6198.5,2630.115385,0.73706051,0.198019802,30,179.3,5379,6627,-1248,1
JPPOWER,100,4.5,450,7.95,795,345,0.766666667,2.580645161,50,8.05,402.5,675,-272.5,1
JYOTISTRUC,100,11.3,1130,14,1400,270,0.238938053,-3.780068729,0,0,0,1130,0,
LYCOS,100,6.5,650,7.9,790,140,0.215384615,-5.952380952,0,0,0,650,0,
NAGAROIL,500,4.84,2420,4.95,2475,55,0.022727273,-1.98019802,0,0,0,2420,0,
NFL,20,72,1440,74.7,1494,54,0.0375,2.60989011,0,0,0,1440,0,
OMKARCHEM,90,98.22222222,8840,76.2,6858,-1982,-0.224208145,0.461437047,0,0,0,8840,0,
OPTOCIRCUI-BE,200,9.5,1900,10.9,2180,280,0.147368421,-3.111111111,0,0,0,1900,0,
PARACABLES,80,3.5,280,17.6,1408,1128,4.028571429,2.623906706,20,17.5,350,350,0,
PINCON,155,65.18709677,10104,41.95,6502.25,-3601.75,-0.356467736,-0.356294537,0,0,0,10104,0,
SHARONBIO-BZ,400,10.1,4040,8.45,3380,-660,-0.163366337,-4.411764706,0,0,0,4040,0,
SINTEX,100,26,2600,25.4,2540,-60,-0.023076923,-5.223880597,0,0,0,2600,0,
SUJANAUNI-BE,2445,1.591308793,3890.75,1.25,3056.25,-834.5,-0.214483069,4.166666667,0,0,0,3890.75,0,
SUVEN,10,165.03125,1650.3125,207.35,2073.5,423.1875,0.256428707,-1.589938301,6,210.45,1262.7,2640.5,-1377.8,
UNITECH,240,4.547727273,1091.454545,9.3,2232,1140.545455,1.044977511,-3.626943005,200,9.55,1910,2001,-91,
ZEEMEDIA,20,24.75,495,45.55,911,416,0.84040404,-2.981895634,20,47.2,944,990,-46,
,,,77190.56152,,90672.65,,,,,,32942.2,95661.5,-3421.05,
